GameID,Terrain,Date,City,Status,PlayerUsername,Match,Score,Rank,Team,Number,Colonne 1,Paiement,ATT,DEF,Team Score,Solo Score,Goals,Assists,Wins,Capitain name,SubGamesLeft,ExpirationDate,Mode
2AU,City foot 5,8/25/2025 20:00:00,Casablanca,Scheduled,bicher le.84,11,"8,7",2,Jaune,14,2AU.bicher le.84,,"46,3%","71,8%","7,6","9,8",59,20,52,mourad s.28,-2,,rayo-classic-5
2AU,City foot 5,8/25/2025 20:00:00,Casablanca,Scheduled,reda ou.31,3,"3,15",212,Orange,8,2AU.reda ou.31,,"10,3%",10%,"5,8","0,5",3,0,2,mourad s.28,0,,rayo-classic-5
2AU,City foot 5,8/25/2025 20:00:00,Casablanca,Scheduled,monaim sa.17,5,"3,3",199,Orange,5,2AU.monaim sa.17,,"23,7%",-32%,"4,4","2,2",11,9,13,mourad s.28,0,,rayo-classic-5
2AU,City foot 5,8/25/2025 20:00:00,Casablanca,Scheduled,ryad na.64,5,"4,55",114,Orange,9,2AU.ryad na.64,,"10,9%",16%,8,"1,1",3,5,20,mourad s.28,0,,rayo-classic-5
2AU,City foot 5,8/25/2025 20:00:00,Casablanca,Scheduled,oussama am.91,5,"3,55",179,Jaune,16,2AU.oussama am.91,,"7,1%",4%,"6,6","0,5",1,1,24,mourad s.28,0,,rayo-classic-5
2AU,City foot 5,8/25/2025 20:00:00,Casablanca,Scheduled,hamza na.23,4,"5,25",38,Orange,10,2AU.hamza na.23,,"34,5%","57,5%","7,5",3,15,8,16,mourad s.28,0,,rayo-classic-5
2AU,City foot 5,8/25/2025 20:00:00,Casablanca,Scheduled,zakaria le.0,0,1,353,Jaune,13,2AU.zakaria le.0,,0%,0%,2,0,0,0,0,mourad s.28,0,,rayo-classic-5
2AU,City foot 5,8/25/2025 20:00:00,Casablanca,Scheduled,tarik el.01,3,"2,9",235,Jaune,15,2AU.tarik el.01,,"5,7%","3,3%","5,5","0,3",1,0,10,mourad s.28,0,,rayo-classic-5
2AU,City foot 5,8/25/2025 20:00:00,Casablanca,Scheduled,bader ya.22,1,"1,6",315,Orange,11,2AU.bader ya.22,,"8,2%",10%,3,"0,2",1,0,0,mourad s.28,0,,rayo-classic-5
2AU,City foot 5,8/25/2025 20:00:00,Casablanca,Scheduled,ismail lo.98,17,"5,8",13,Jaune,12,2AU.ismail lo.98,sub,14%,"24,7%","6,5","5,1",14,28,65,mourad s.28,2,31/08/2025,rayo-classic-5
2AV,City foot 5,8/27/2025 19:30:00,Casablanca,Scheduled,bicher le.84,11,"8,7",2,#N/A,#N/A,2AV.bicher le.84,,"46,3%","71,8%","7,6","9,8",59,20,52,mourad s.28,-2,,Rayo Rush5
2AV,City foot 5,8/27/2025 19:30:00,Casablanca,Scheduled,hicham ch.10,0,1,353,#N/A,#N/A,2AV.hicham ch.10,,0%,0%,2,0,0,0,0,mourad s.28,0,,Rayo Rush5
2AV,City foot 5,8/27/2025 19:30:00,Casablanca,Scheduled,zakaria le.0,0,1,353,#N/A,#N/A,2AV.zakaria le.0,,0%,0%,2,0,0,0,0,mourad s.28,0,,Rayo Rush5
2AV,City foot 5,8/27/2025 19:30:00,Casablanca,Scheduled,nawfal la.84,5,"3,05",218,#N/A,#N/A,2AV.nawfal la.84,,"16,7%",24%,"4,4","1,7",9,3,12,mourad s.28,0,,Rayo Rush5
