ID,Date&Time,Status,MODE,Game ID,PlayerUsername,Team,Number,Score Manuel,TScore,TMatch,Tgoals,SoloScore,tTeamScore,ATT,DEF,Rank,Goal,Assist,Hattrick,OwnGoal,Match Total Score,IndividualScore,TeamScore,MVP,TeamWin,TeamLoss,TeamCleanSheet,TeamMiniGame,TeamGoals,TeamGC
1,4/19/2025 19:00:00,Played,Rayo Rush5,1A,mohamed ai.24,Blue,25,,"7,9",17,39,"8,4","7,4","27,4","11,3",3,2,5,,,"9,4","21,5",10,,8,2,8,10,11,2
2,4/19/2025 19:00:00,Played,Rayo Rush5,1A,achraf ha.17,Blue,19,,"3,95",6,10,"2,7","5,2","19,4","11,9",150,5,2,,,10,23,10,1,8,2,8,10,11,2
3,4/19/2025 19:00:00,Played,Rayo Rush5,1A,ayoub la.30,Blue,22,,"3,4",5,6,"1,2","5,6","12,8","16,6",191,2,2,,,"7,6",17,10,,8,2,8,10,11,2
4,4/19/2025 19:00:00,Played,Rayo Rush5,1A,badr ha.46,Blue,20,,"2,9",4,2,"0,7","5,1","8,2","22,6",235,0,2,,,6,13,10,,8,2,8,10,11,2
5,4/19/2025 19:00:00,Played,Rayo Rush5,1A,ayoub ba.77,Blue,21,,"5,2",1,2,"0,4",10,"23,8",40,50,2,2,,,"7,6",17,10,,8,2,8,10,11,2
6,4/19/2025 19:00:00,Played,Rayo Rush5,1A,ayoub ba.27,Orange,7,,"1,75",1,0,"0,1","3,4",2,0,282,0,0,,,"2,1","3,4","3,4",,2,5,1,7,4,8
7,4/19/2025 19:00:00,Played,Rayo Rush5,1A,aimrane na.23,Orange,6,,"1,75",1,0,"0,1","3,4",2,0,282,0,0,,,"2,1","3,4","3,4",,2,5,1,7,4,8
8,4/19/2025 19:00:00,Played,Rayo Rush5,1A,saad ha.00,Orange,9,,"1,8",1,1,"0,2","3,4","8,7",10,277,1,0,,,"2,9","5,4","3,4",,2,5,1,7,4,8
9,4/19/2025 19:00:00,Played,Rayo Rush5,1A,yassir ab.28,Orange,10,,"3,1",2,1,"0,3","5,9","6,6","12,2",215,0,0,,,"2,1","3,4","3,4",,2,5,1,7,4,8
10,4/19/2025 19:00:00,Played,Rayo Rush5,1A,omar ma.25,Orange,11,,"1,8",1,1,"0,2","3,4","8,7",10,277,1,0,,,"2,9","5,4","3,4",,2,5,1,7,4,8
11,4/19/2025 19:00:00,Played,Rayo Rush5,1A,souhaib ma.58,Jaune,18,,"1,7",2,2,"0,4",3,"10,9",15,288,1,0,,1,2,3,3,,2,5,1,7,3,8
12,4/19/2025 19:00:00,Played,Rayo Rush5,1A,youssef ai.78,Jaune,16,,"3,3",7,2,"0,8","5,8","4,9","22,7",199,0,0,,,2,3,3,,2,5,1,7,3,8
13,4/19/2025 19:00:00,Played,Rayo Rush5,1A,abdelkabir ai.70,Jaune,13,,"2,95",3,3,"0,6","5,3","11,2","13,3",227,1,1,,,"3,4","6,5",3,,2,5,1,7,3,8
14,4/19/2025 19:00:00,Played,Rayo Rush5,1A,mohamed ra.62,Jaune,15,,"1,8",2,4,"0,4","3,2","15,8","-39,1",277,1,0,,1,2,3,3,,2,5,1,7,3,8
15,4/19/2025 19:00:00,Played,Rayo Rush5,1A,hamza na.24,Jaune,14,,"1,6",1,0,"0,2",3,4,10,315,0,1,,,"2,6","4,5",3,,2,5,1,7,3,8
16,4/23/2025 20:00:00,Played,Rayo Rush5,1B,mohamed ra.62,Blue,23,,"1,8",2,4,"0,4","3,2","15,8","-39,1",277,3,0,,,"4,2","9,3","3,3",,4,5,3,9,7,9
17,4/23/2025 20:00:00,Played,Rayo Rush5,1B,youssef zg.50,Blue,24,,"4,6",11,5,"2,1","7,1","8,7","17,4",113,1,1,,,"3,3","6,8","3,3",,4,5,3,9,7,9
18,4/23/2025 20:00:00,Played,Rayo Rush5,1B,said da.96,Blue,20,,"3,8",9,15,"2,9","4,7","15,6","8,4",164,1,3,,,"4,4","9,8","3,3",,4,5,3,9,7,9
19,4/23/2025 20:00:00,Played,Rayo Rush5,1B,khalid ai.00,Blue,21,,"3,6",3,6,"1,8","5,4","23,3","16,6",174,2,1,,,4,"8,8","3,3",,4,5,3,9,7,9
20,4/23/2025 20:00:00,Played,Rayo Rush5,1B,ayman so.18,Blue,22,,"2,8",3,0,"0,2","5,4","2,7","9,4",243,0,0,,,2,"3,3","3,3",,4,5,3,9,7,9
21,4/23/2025 20:00:00,Played,Rayo Rush5,1B,ayoub la.30,Orange,11,,"3,4",5,6,"1,2","5,6","12,8","16,6",191,3,1,,,"4,7","10,5",3,,4,5,2,9,9,11
22,4/23/2025 20:00:00,Played,Rayo Rush5,1B,souhaib ma.58,Orange,6,,"1,7",2,2,"0,4",3,"10,9",15,288,1,1,,,"3,2","6,5",3,,4,5,2,9,9,11
23,4/23/2025 20:00:00,Played,Rayo Rush5,1B,jawad to.46,Orange,9,,"4,5",11,16,"3,4","5,6","15,3","19,8",118,3,1,,,"4,7","10,5",3,,4,5,2,9,9,11
24,4/23/2025 20:00:00,Played,Rayo Rush5,1B,hamza la.78,Orange,10,,"4,3",10,13,"2,7","5,9","13,2",25,125,1,2,,,"3,7",8,3,,4,5,2,9,9,11
25,4/23/2025 20:00:00,Played,Rayo Rush5,1B,zakaria af.29,Orange,5,,"1,9",2,1,"0,3","3,5","7,6",10,274,1,1,,,"3,2","6,5",3,,4,5,2,9,9,11
26,4/23/2025 20:00:00,Played,Rayo Rush5,1B,mohamed ai.24,Jaune,18,,"7,9",17,39,"8,4","7,4","27,4","11,3",3,5,3,,,10,"24,5",10,1,6,4,4,10,14,10
